City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,san jose del guaviare,2.5729,-72.6459,26.14,82,58,1.19,CO,1689515667
173,abu jibeha,11.4562,31.2285,32.15,41,72,3.99,SD,1689515667
174,yankton,42.8711,-97.3973,21.71,57,19,1.92,US,1689515428
175,suntar,62.1444,117.6319,9.65,70,3,1.69,RU,1689515668
176,keflavik,64.0049,-22.5624,12.24,62,0,9.77,IS,1689515668
177,antsiranana,-12.2787,49.2917,29.42,48,20,4.12,MG,1689515668
178,nueve de julio,-35.4444,-60.8831,4.42,79,1,1.34,AR,1689515668
179,huai khot,15.2909,99.6166,30.58,65,98,1.95,TH,1689515668
180,ta`u,-14.2336,-169.5144,26.4,80,100,9.46,AS,1689515669
181,papao,-17.75,-149.55,21.82,61,0,1.61,PF,1689515669
182,puerto aysen,-45.4,-72.7,-0.45,91,92,0.7,CL,1689515669
183,cole harbour,44.6724,-63.4751,24.54,93,94,4.63,CA,1689515669
184,la passe,45.5549,-0.8967,23.9,51,1,5.83,FR,1689515670
185,mar del plata,-38.0023,-57.5575,8.3,82,40,7.6,AR,1689515670
186,tongouson,5.0214,120.1328,28.59,74,100,7.64,PH,1689515670
187,sevastopol,44.6,33.5333,25.57,56,0,6.08,UA,1689515670
188,thompson,55.7435,-97.8558,11.09,87,100,4.12,CA,1689515671
189,lospalos,-8.5186,127.0025,21.73,86,91,4.61,TL,1689515671
190,boca suno,-0.7167,-77.1333,23.77,75,76,0.24,EC,1689515672
191,mount gambier,-37.8333,140.7667,8.93,79,60,2.64,AU,1689515672
192,krasavino,60.9614,46.4814,23.08,55,100,1.41,RU,1689515672
193,borogontsy,62.6683,131.1683,10.87,66,90,1.19,RU,1689515673
194,yima,34.7381,111.8839,25.67,56,0,1.47,CN,1689515673
195,udachny,66.4167,112.4,11.92,46,100,4.2,RU,1689515673
196,alaghsas,17.0187,8.0168,39.94,24,0,5.14,NE,1689515673
197,madimba,-10.4,40.3333,29.62,48,20,7.2,TZ,1689515673
198,crewkerne,50.883,-2.7959,19.05,73,75,3.09,GB,1689515674
199,bang saphan,11.2126,99.5117,25.51,90,100,4.05,TH,1689515674
200,alice springs,-23.7,133.8833,8.75,87,0,0.0,AU,1689515674
201,visakhapatnam,17.69,83.2093,30.94,66,75,6.17,IN,1689515557
202,catriel,-37.8791,-67.7956,5.54,64,5,3.09,AR,1689515675
203,port washington,40.8257,-73.6982,25.89,88,100,4.92,US,1689515529
204,vanimo,-2.6741,141.3028,25.7,87,94,1.43,PG,1689515675
205,iskateley,67.6803,53.1512,23.03,56,53,3.36,RU,1689515675
206,jamestown,42.097,-79.2353,22.23,94,100,2.57,US,1689515676
207,hamilton,39.1834,-84.5333,24.3,89,0,3.6,US,1689515655
208,mizdah,31.4451,12.9801,39.57,7,0,8.24,LY,1689515676
209,fale old settlement,-9.3852,-171.2468,27.95,76,100,6.21,TK,1689515676
210,port lincoln,-34.7333,135.8667,10.22,73,0,2.16,AU,1689515677
211,rasht,37.2808,49.5832,28.9,58,75,2.06,IR,1689515512
212,la ronge,55.1001,-105.2842,14.14,72,20,4.63,CA,1689515677
213,pandan,14.0453,124.1694,27.11,84,100,4.0,PH,1689515678
214,pauini,-7.7136,-66.9764,30.54,49,5,0.98,BR,1689515678
215,kievka,50.2619,71.5514,26.14,33,27,4.46,KZ,1689515678
216,sabang,5.8933,95.3214,28.48,80,100,10.92,ID,1689515678
217,tha maka,13.9,99.7667,31.61,62,90,4.68,TH,1689515678
218,vila franca do campo,37.7167,-25.4333,23.23,59,37,2.09,PT,1689515679
219,cozumel,20.5083,-86.9458,31.08,87,12,2.68,MX,1689515665
220,punto fijo,11.6956,-70.1996,28.76,71,82,11.78,VE,1689515679
221,bonthe,7.5264,-12.505,26.93,77,84,4.23,SL,1689515679
222,dunedin,-45.8742,170.5036,7.67,58,44,3.6,NZ,1689515679
223,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,20,0.0,RU,1689515680
224,uliastay,47.7417,96.8444,19.61,31,21,1.12,MN,1689515680
225,mata-utu,-13.2816,-176.1745,27.0,79,100,8.29,WF,1689515680
226,tual,-5.6667,132.75,26.41,81,96,9.44,ID,1689515680
227,glace bay,46.1969,-59.957,24.88,85,75,3.6,CA,1689515680
228,upington,-28.4478,21.2561,24.21,20,0,1.54,ZA,1689515681
229,nabire,-3.3667,135.4833,25.49,90,100,1.35,ID,1689515681
230,xinyuan,37.3,99.0,7.74,86,51,3.08,CN,1689515681
231,murray bridge,-35.1167,139.2667,7.41,82,0,1.1,AU,1689515681
232,touros,-5.1989,-35.4608,29.18,58,8,7.63,BR,1689515681
233,usinsk,65.9939,57.5281,26.38,33,44,2.5,RU,1689515682
234,gresovskiy,45.008,34.0266,29.2,26,0,3.89,UA,1689515682
235,newnham,-41.3833,147.1333,10.73,85,75,6.17,AU,1689515682
236,haiku-pauwela,20.9219,-156.3051,24.01,73,100,5.14,US,1689515683
237,ghadamis,30.1337,9.5007,40.88,6,0,6.27,LY,1689515683
238,kailua-kona,19.6406,-155.9956,23.98,87,100,2.06,US,1689515683
239,bridgeport,41.167,-73.2048,25.54,85,100,5.66,US,1689515501
240,buncrana,55.1333,-7.45,15.87,80,58,7.09,IE,1689515683
241,vilyuchinsk,52.9306,158.4028,11.15,97,42,0.45,RU,1689515684
242,sundargarh,22.1167,84.0333,25.94,83,85,2.74,IN,1689515684
243,kavieng,-2.5744,150.7967,27.94,75,100,2.77,PG,1689515684
244,peterhead,57.5058,-1.7981,19.22,80,71,7.97,GB,1689515684
245,castillos,-34.1667,-53.8333,10.59,59,18,5.61,UY,1689515685
246,klyuchi,52.2667,79.1667,18.98,66,54,6.89,RU,1689515685
247,okha,53.5739,142.9478,10.74,84,100,3.59,RU,1689515685
248,pitimbu,-7.4706,-34.8086,25.33,76,19,6.08,BR,1689515686
249,east hemet,33.74,-116.9389,34.36,31,100,0.37,US,1689515686
250,qaqortoq,60.7167,-46.0333,6.81,91,100,3.29,GL,1689515686
251,kingston,17.997,-76.7936,32.36,66,20,2.57,JM,1689515687
252,ust'-ilimsk,58.0006,102.6619,16.46,97,91,1.51,RU,1689515687
253,biloela,-24.4167,150.5,16.63,78,100,3.92,AU,1689515688
254,armacao de buzios,-22.7469,-41.8817,25.03,64,0,6.24,BR,1689515688
255,guerrero negro,27.9769,-114.0611,19.35,88,82,3.84,MX,1689515688
256,istmina,5.1605,-76.684,26.63,89,92,1.0,CO,1689515688
257,rock springs,41.5875,-109.2029,15.69,38,0,1.54,US,1689515688
258,sharjah,25.3573,55.4033,41.16,31,0,6.69,AE,1689515410
259,cabo san lucas,22.8909,-109.9124,30.28,78,0,2.06,MX,1689515635
260,schwarzheide,51.4833,13.8667,30.63,36,54,4.02,DE,1689515509
261,magadan,59.5667,150.8,10.93,85,90,1.51,RU,1689515689
262,fort william,56.8165,-5.1121,13.5,92,100,3.0,GB,1689515690
263,naze,28.3667,129.4833,27.51,85,68,7.39,JP,1689515690
264,saldanha,-33.0117,17.9442,14.03,79,93,4.51,ZA,1689515690
265,minas de marcona,-15.2119,-75.1103,14.16,72,24,3.29,PE,1689515690
266,el galpon,-25.3807,-64.6526,14.69,50,0,2.08,AR,1689515691
267,bechar,31.6167,-2.2167,39.18,4,0,2.57,DZ,1689515676
268,lastoursville,-0.8143,12.7287,31.37,49,100,1.1,GA,1689515691
269,salacgriva,57.7536,24.3581,27.2,46,100,6.23,LV,1689515691
270,santa elena de uairen,4.6167,-61.1333,25.94,57,8,2.89,VE,1689515692
271,puerto deseado,-47.7503,-65.8938,0.87,65,12,8.62,AR,1689515692
272,lihue,21.9789,-159.3672,25.77,70,40,6.17,US,1689515681
273,kodiak,57.79,-152.4072,11.73,94,100,3.09,US,1689515692
274,labytnangi,66.6572,66.4183,20.93,59,90,3.24,RU,1689515693
275,ust-nera,64.5667,143.2,11.66,88,100,3.95,RU,1689515693
276,fengcheng,40.4536,124.0717,19.52,91,8,0.7,CN,1689515693
277,tommot,58.9564,126.2925,13.68,84,91,0.42,RU,1689515693
278,laibin,23.7,109.2667,29.08,62,63,3.12,CN,1689515694
279,coahuayana de hidalgo,18.7,-103.6583,26.93,85,95,1.31,MX,1689515694
280,constantia,44.1833,28.65,31.5,53,0,5.82,RO,1689515694
281,helena,46.5927,-112.0361,15.55,59,0,0.0,US,1689515695
282,steubenville,40.3698,-80.634,24.4,78,53,2.24,US,1689515579
283,swakopmund,-22.6833,14.5333,21.66,54,0,2.24,NA,1689515695
284,machico,32.7,-16.7667,27.29,73,40,4.63,PT,1689515695
285,port alfred,-33.5906,26.891,17.88,72,13,2.68,ZA,1689515695
286,bahia blanca,-38.7196,-62.2724,5.46,70,6,2.24,AR,1689515696
287,juegang,32.3174,121.1855,24.1,98,100,3.11,CN,1689515696
288,melfort,52.8667,-104.6177,12.07,82,33,3.6,CA,1689515696
289,staroderevyankovskaya,46.1276,38.9674,25.28,41,77,6.47,RU,1689515696
290,tanout,14.9709,8.8879,37.62,24,72,2.35,NE,1689515697
291,cooper's town,26.8667,-77.5167,29.31,76,100,5.6,BS,1689515697
292,papatowai,-46.5619,169.4708,8.31,74,51,5.98,NZ,1689515697
293,tateyama,34.9833,139.8667,24.92,92,78,7.81,JP,1689515697
294,mudanjiang,44.5833,129.6,17.38,95,40,2.24,CN,1689515697
295,wailua homesteads,22.0669,-159.378,25.44,71,40,6.17,US,1689515698
296,paraiso,9.8383,-83.8656,21.95,76,86,1.82,CR,1689515698
297,walsrode,52.8667,9.6,27.27,46,90,6.37,DE,1689515698
298,akureyri,65.6835,-18.0878,6.96,81,75,7.2,IS,1689515698
299,gilgit,35.9221,74.3087,33.2,37,46,0.63,PK,1689515699
300,kapuskasing,49.4169,-82.4331,18.05,82,75,2.06,CA,1689515699
301,pasuquin,18.3328,120.6177,28.97,79,100,6.17,PH,1689515699
302,ampanihy,-24.7,44.75,25.03,25,0,4.48,MG,1689515699
303,tolanaro,-25.0319,46.9987,23.04,64,20,9.77,MG,1689515700
